PROBE_ID	SEQ_ID	CHROMOSOME	POSITION	COUNT	LENGTH	GC
CHR7P125827733	MM6MSPIS00301697	chr7	125827733	1	50	0.46
CHR7P106940310	MM6MSPIS00295463	chr7	106940310	1	50	0.44
CHRXP138687415	MM6MSPIS00700078	chrX	138687415	1	50	0.32
CHR7P73432177	MM6MSPIS00286919	chr7	73432177	1	50	0.42
CHR7P58533999	MM6MSPIS00282824	chr7	58533999	1	50	0.26
CHRXP12453052	MM6MSPIS00679739	chrX	12453052	1	50	0.42
CHR7P136582898	MM6MSPIS00306031	chr7	136582898	1	50	0.36
CHR7P109650472	MM6MSPIS00296021	chr7	109650472	1	50	0.3
CHRXP93985578	MM6MSPIS00692825	chrX	93985578	1	50	0.42
CHR7P123813069	MM6MSPIS00300859	chr7	123813069	1	50	0.4
CHR7P62233787	MM6MSPIS00284416	chr7	62233787	1	50	0.5
CHR7P138587029	MM6MSPIS00306823	chr7	138587029	1	50	0.58
CHRXP32097865	MM6MSPIS00682727	chrX	32097865	1	50	0.42
CHR7P121944784	MM6MSPIS00300200	chr7	121944784	1	50	0.44
CHRXP10528171	MM6MSPIS00679311	chrX	10528171	1	50	0.42
CHR7P91437625	MM6MSPIS00290777	chr7	91437625	1	50	0.5
CHRXP105862324	MM6MSPIS00695195	chrX	105862324	1	50	0.56
CHR6P35022039	MM6MSPIS00235502	chr6	35022039	1	50	0.66
CHR7P73112097	MM6MSPIS00286698	chr7	73112097	1	50	0.54
CHR7P131288290	MM6MSPIS00303740	chr7	131288290	1	50	0.36
CHR7P93051904	MM6MSPIS00291460	chr7	93051904	1	50	0.48
CHR7P69202852	MM6MSPIS00285970	chr7	69202852	1	50	0.6
CHRXP45148451	MM6MSPIS00684872	chrX	45148451	1	50	0.34
CHRXP93670339	MM6MSPIS00692702	chrX	93670339	1	50	0.6
CHR2P177915742	MM6MSPIS00096078	chr2	177915742	1	50	0.34
CHR12P105530568	MM6MSPIS00491896	chr12	105530568	1	50	0.32
CHR7P121795604	MM6MSPIS00300077	chr7	121795604	1	50	0.66
CHR7P72786880	MM6MSPIS00286548	chr7	72786880	1	50	0.34
CHRXP45480981	MM6MSPIS00684951	chrX	45480981	1	50	0.38
CHR7P83766282	MM6MSPIS00289532	chr7	83766282	1	50	0.46
CHR7P88441435	MM6MSPIS00290194	chr7	88441435	1	50	0.32
CHR7P65987787	MM6MSPIS00285139	chr7	65987787	1	50	0.4
CHR7P106710419	MM6MSPIS00295365	chr7	106710419	1	50	0.48
CHR7P83957018	MM6MSPIS00289594	chr7	83957018	1	50	0.22
CHRXP146788319	MM6MSPIS00701591	chrX	146788319	1	50	0.44
CHRXP95920533	MM6MSPIS00693272	chrX	95920533	1	50	0.64
CHR12P105433798	MM6MSPIS00491853	chr12	105433798	1	50	0.58
CHR7P106626731	MM6MSPIS00295327	chr7	106626731	1	50	0.54
CHR7P70806711	MM6MSPIS00286183	chr7	70806711	1	50	0.38
CHR7P73195150	MM6MSPIS00286756	chr7	73195150	1	50	0.54
CHRXP30548090	MM6MSPIS00682309	chrX	30548090	1	50	0.28
CHRXP103801900	MM6MSPIS00694943	chrX	103801900	1	50	0.28
CHRXP19601417	MM6MSPIS00680760	chrX	19601417	1	50	0.48
CHR7P62310700	MM6MSPIS00284462	chr7	62310700	1	50	0.46
CHRXP69501701	MM6MSPIS00689034	chrX	69501701	1	50	0.56
CHR7P70208758	MM6MSPIS00286124	chr7	70208758	1	50	0.38
CHR7P74441790	MM6MSPIS00287566	chr7	74441790	1	50	0.52
CHR7P123584652	MM6MSPIS00300772	chr7	123584652	1	50	0.46
CHR7P123483493	MM6MSPIS00300754	chr7	123483493	1	50	0.46
CHR7P126783010	MM6MSPIS00302052	chr7	126783010	1	50	0.52
CHR6P05226061	MM6MSPIS00229626	chr6	5226061	1	50	0.5
CHR7P139406251	MM6MSPIS00307243	chr7	139406251	1	50	0.56
CHRXP98010464	MM6MSPIS00693884	chrX	98010464	1	50	0.48
CHRXP154746954	MM6MSPIS00702827	chrX	154746954	1	50	0.4
CHR7P133572216	MM6MSPIS00304590	chr7	133572216	1	50	0.52
CHR7P120282532	MM6MSPIS00299106	chr7	120282532	1	50	0.4
CHRXP12917156	MM6MSPIS00679788	chrX	12917156	1	50	0.34
CHR7P120870936	MM6MSPIS00299475	chr7	120870936	1	50	0.48
CHR7P138770960	MM6MSPIS00306911	chr7	138770960	1	50	0.58
CHR14P50834685	MM6MSPIS00537005	chr14	50834685	1	50	0.4
CHR7P113978279	MM6MSPIS00297278	chr7	113978279	1	50	0.54
CHRXP145550854	MM6MSPIS00701320	chrX	145550854	1	50	0.68
CHRXP63677843	MM6MSPIS00687812	chrX	63677843	1	50	0.4
CHR6P07914522	MM6MSPIS00230353	chr6	7914522	1	50	0.4
CHR7P84510365	MM6MSPIS00289739	chr7	84510365	1	50	0.56
CHR7P137454842	MM6MSPIS00306389	chr7	137454842	1	50	0.6
CHR7P104017490	MM6MSPIS00294484	chr7	104017490	1	50	0.58
CHRXP100327119	MM6MSPIS00694382	chrX	100327119	1	50	0.36
CHRXP160373324	MM6MSPIS00703841	chrX	160373324	1	50	0.44
CHRXP88581791	MM6MSPIS00691788	chrX	88581791	1	50	0.36
CHR7P74147997	MM6MSPIS00287360	chr7	74147997	1	50	0.4
CHRXP73036079	MM6MSPIS00689703	chrX	73036079	1	50	0.42
CHR12P105776052	MM6MSPIS00492043	chr12	105776052	1	50	0.5
CHR7P124285186	MM6MSPIS00301035	chr7	124285186	1	50	0.52
CHRXP42446307	MM6MSPIS00684179	chrX	42446307	1	50	0.32
CHR12P105663867	MM6MSPIS00491965	chr12	105663867	1	50	0.7
CHR7P108604392	MM6MSPIS00295851	chr7	108604392	1	50	0.52
CHRXP94199116	MM6MSPIS00692924	chrX	94199116	1	50	0.48
CHR7P108277631	MM6MSPIS00295816	chr7	108277631	1	50	0.44
CHRXP52676753	MM6MSPIS00686289	chrX	52676753	1	50	0.7
CHR7P106680218	MM6MSPIS00295357	chr7	106680218	1	50	0.46
CHR7P72303570	MM6MSPIS00286337	chr7	72303570	1	50	0.4
CHR7P138218029	MM6MSPIS00306693	chr7	138218029	1	50	0.56
CHR7P103071567	MM6MSPIS00294160	chr7	103071567	1	50	0.5
CHRXP159671380	MM6MSPIS00703680	chrX	159671380	1	50	0.28
CHR7P122347900	MM6MSPIS00300405	chr7	122347900	1	50	0.54
CHR7P135536959	MM6MSPIS00305508	chr7	135536959	1	50	0.42
CHRXP11259883	MM6MSPIS00679538	chrX	11259883	1	50	0.26
CHRXP18305472	MM6MSPIS00680485	chrX	18305472	1	50	0.5
CHR7P91511105	MM6MSPIS00290804	chr7	91511105	1	50	0.36
CHRXP98152613	MM6MSPIS00693943	chrX	98152613	1	50	0.5
CHRXP142276345	MM6MSPIS00700617	chrX	142276345	1	50	0.26
CHR7P77175023	MM6MSPIS00288525	chr7	77175023	1	50	0.48
CHR7P64389153	MM6MSPIS00284864	chr7	64389153	1	50	0.44
CHRXP144577651	MM6MSPIS00701145	chrX	144577651	1	50	0.4
CHRXP154923818	MM6MSPIS00702848	chrX	154923818	1	50	0.54
CHRXP84185899	MM6MSPIS00691065	chrX	84185899	1	50	0.26
CHR7P116006747	MM6MSPIS00297897	chr7	116006747	1	50	0.46
CHRXP06297357	MM6MSPIS00678162	chrX	6297357	1	50	0.42
CHR7P117833418	MM6MSPIS00298455	chr7	117833418	1	50	0.4
CHR7P57713475	MM6MSPIS00282572	chr7	57713475	1	50	0.64
CHR6P04478541	MM6MSPIS00229414	chr6	4478541	1	50	0.46
CHRXP94177174	MM6MSPIS00692910	chrX	94177174	1	50	0.6
CHRXP12112194	MM6MSPIS00679693	chrX	12112194	1	50	0.28
CHR7P74229387	MM6MSPIS00287445	chr7	74229387	1	50	0.5
CHRXP16469064	MM6MSPIS00680233	chrX	16469064	1	50	0.32
CHRXP43115758	MM6MSPIS00684445	chrX	43115758	1	50	0.4
CHR7P57532705	MM6MSPIS00282479	chr7	57532705	1	50	0.48
CHRXP65875575	MM6MSPIS00688092	chrX	65875575	1	50	0.4
CHR7P83040527	MM6MSPIS00289382	chr7	83040527	1	50	0.42
CHR7P67112740	MM6MSPIS00285396	chr7	67112740	1	50	0.44
CHRXP100744962	MM6MSPIS00694492	chrX	100744962	1	50	0.32
CHR7P77754657	MM6MSPIS00288659	chr7	77754657	1	50	0.56
CHR7P128328508	MM6MSPIS00302718	chr7	128328508	1	50	0.58
CHRXP98108640	MM6MSPIS00693929	chrX	98108640	1	50	0.54
CHR7P104753519	MM6MSPIS00294726	chr7	104753519	1	50	0.48
CHR7P95627120	MM6MSPIS00292644	chr7	95627120	1	50	0.34
CHR7P67157193	MM6MSPIS00285412	chr7	67157193	1	50	0.32
CHR7P95782614	MM6MSPIS00292699	chr7	95782614	1	50	0.48
CHRXP151139982	MM6MSPIS00702229	chrX	151139982	1	50	0.32
CHR7P05976804	MM6MSPIS00266598	chr7	5976804	1	50	0.44
CHR7P113361808	MM6MSPIS00297142	chr7	113361808	1	50	0.56
CHRXP151810091	MM6MSPIS00702333	chrX	151810091	1	50	0.32
CHR7P129491312	MM6MSPIS00303095	chr7	129491312	1	50	0.38
CHRXP86006220	MM6MSPIS00691340	chrX	86006220	1	50	0.62
CHR11P11889103	MM6MSPIS00422689	chr11	11889103	1	50	0.5
CHRXP62328551	MM6MSPIS00687632	chrX	62328551	1	50	0.42
CHR7P112430602	MM6MSPIS00296809	chr7	112430602	1	50	0.46
CHR7P60168207	MM6MSPIS00283508	chr7	60168207	1	50	0.4
CHR7P109269985	MM6MSPIS00295954	chr7	109269985	1	50	0.4
CHR7P107038288	MM6MSPIS00295502	chr7	107038288	1	50	0.48
CHRXP163521895	MM6MSPIS00704182	chrX	163521895	1	50	0.34
CHR7P73511900	MM6MSPIS00286957	chr7	73511900	1	50	0.46
CHR7P133883570	MM6MSPIS00304747	chr7	133883570	1	50	0.56
CHR7P124273020	MM6MSPIS00301028	chr7	124273020	1	50	0.5
CHRXP36841336	MM6MSPIS00683503	chrX	36841336	1	50	0.42
CHRXP97328995	MM6MSPIS00693705	chrX	97328995	1	50	0.28
CHR7P93493847	MM6MSPIS00291708	chr7	93493847	1	50	0.54
CHR7P122395369	MM6MSPIS00300424	chr7	122395369	1	50	0.56
CHR12P105326116	MM6MSPIS00491774	chr12	105326116	1	50	0.34
CHRXP51239807	MM6MSPIS00686025	chrX	51239807	1	50	0.34
CHR7P74248579	MM6MSPIS00287467	chr7	74248579	1	50	0.56
CHR7P102864785	MM6MSPIS00294098	chr7	102864785	1	50	0.56
CHRXP21768029	MM6MSPIS00681009	chrX	21768029	1	50	0.46
CHRXP96783051	MM6MSPIS00693573	chrX	96783051	1	50	0.4
CHR7P68364660	MM6MSPIS00285844	chr7	68364660	1	50	0.48
CHR2P177958298	MM6MSPIS00096092	chr2	177958298	1	50	0.48
CHR7P95070840	MM6MSPIS00292399	chr7	95070840	1	50	0.62
CHR7P58504363	MM6MSPIS00282813	chr7	58504363	1	50	0.54
CHR7P133042098	MM6MSPIS00304376	chr7	133042098	1	50	0.5
CHRXP11582621	MM6MSPIS00679611	chrX	11582621	1	50	0.46
CHRXP80109539	MM6MSPIS00690584	chrX	80109539	1	50	0.46
CHR7P76010148	MM6MSPIS00288229	chr7	76010148	1	50	0.46
CHR7P138862001	MM6MSPIS00306951	chr7	138862001	1	50	0.56
CHR7P59164611	MM6MSPIS00283037	chr7	59164611	1	50	0.46
CHR6P49513390	MM6MSPIS00238553	chr6	49513390	1	50	0.34
CHRXP157385637	MM6MSPIS00703281	chrX	157385637	1	50	0.44
CHR7P60863275	MM6MSPIS00283788	chr7	60863275	1	50	0.42
CHR7P124011571	MM6MSPIS00300919	chr7	124011571	1	50	0.48
CHR7P117961717	MM6MSPIS00298479	chr7	117961717	1	50	0.22
CHR7P63207245	MM6MSPIS00284630	chr7	63207245	1	50	0.44
CHR7P58712427	MM6MSPIS00282900	chr7	58712427	1	50	0.34
CHR7P125869672	MM6MSPIS00301722	chr7	125869672	1	50	0.58
CHRXP105598377	MM6MSPIS00695169	chrX	105598377	1	50	0.26
CHRXP19422493	MM6MSPIS00680728	chrX	19422493	1	50	0.4
CHR7P120840659	MM6MSPIS00299451	chr7	120840659	1	50	0.42
CHR6P35038360	MM6MSPIS00235516	chr6	35038360	1	50	0.62
CHR7P96466236	MM6MSPIS00292998	chr7	96466236	1	50	0.54
CHR7P59585223	MM6MSPIS00283205	chr7	59585223	1	50	0.48
CHR12P105923300	MM6MSPIS00492133	chr12	105923300	1	50	0.44
CHRXP79784464	MM6MSPIS00690539	chrX	79784464	1	50	0.36
CHR12P105657508	MM6MSPIS00491958	chr12	105657508	1	50	0.52
CHR7P05866910	MM6MSPIS00266570	chr7	5866910	1	50	0.28
CHRXP98017261	MM6MSPIS00693889	chrX	98017261	1	50	0.3
CHRXP135161832	MM6MSPIS00699488	chrX	135161832	1	50	0.7
CHR7P105308142	MM6MSPIS00294893	chr7	105308142	1	50	0.4
CHR7P91014741	MM6MSPIS00290671	chr7	91014741	1	50	0.42
CHR7P122322017	MM6MSPIS00300385	chr7	122322017	1	50	0.52
CHR7P72687516	MM6MSPIS00286485	chr7	72687516	1	50	0.4
CHRXP82593262	MM6MSPIS00690849	chrX	82593262	1	50	0.4
CHR7P122139917	MM6MSPIS00300309	chr7	122139917	1	50	0.38
CHR7P60973425	MM6MSPIS00283831	chr7	60973425	1	50	0.52
CHR7P95368644	MM6MSPIS00292488	chr7	95368644	1	50	0.44
CHR7P55329040	MM6MSPIS00282155	chr7	55329040	1	50	0.44
CHRXP04548821	MM6MSPIS00677651	chrX	4548821	1	50	0.38
CHR7P104721712	MM6MSPIS00294716	chr7	104721712	1	50	0.66
CHR7P73623636	MM6MSPIS00287021	chr7	73623636	1	50	0.5
CHR7P135325470	MM6MSPIS00305352	chr7	135325470	1	50	0.4
CHR7P65864179	MM6MSPIS00285118	chr7	65864179	1	50	0.44
CHR7P65954435	MM6MSPIS00285133	chr7	65954435	1	50	0.38
CHRXP09702844	MM6MSPIS00678923	chrX	9702844	1	50	0.38
CHR7P93415583	MM6MSPIS00291649	chr7	93415583	1	50	0.52
CHR7P65426374	MM6MSPIS00285054	chr7	65426374	1	50	0.32
CHRXP87941381	MM6MSPIS00691673	chrX	87941381	1	50	0.5
CHRXP10622172	MM6MSPIS00679356	chrX	10622172	1	50	0.34
CHR7P73372237	MM6MSPIS00286874	chr7	73372237	1	50	0.54
CHRXP45550463	MM6MSPIS00684969	chrX	45550463	1	50	0.24
CHR7P64951370	MM6MSPIS00284972	chr7	64951370	1	50	0.42
CHR7P132188992	MM6MSPIS00304157	chr7	132188992	1	50	0.6
CHRXP95884406	MM6MSPIS00693252	chrX	95884406	1	50	0.54
CHR7P67142155	MM6MSPIS00285406	chr7	67142155	1	50	0.48
CHR7P95778066	MM6MSPIS00292696	chr7	95778066	1	50	0.54
CHR7P67000517	MM6MSPIS00285339	chr7	67000517	1	50	0.46
CHRXP68668706	MM6MSPIS00688762	chrX	68668706	1	50	0.38
CHR7P112669966	MM6MSPIS00296922	chr7	112669966	1	50	0.48
CHRXP148856980	MM6MSPIS00701917	chrX	148856980	1	50	0.42
CHR7P105434918	MM6MSPIS00294919	chr7	105434918	1	50	0.56
CHR7P92167567	MM6MSPIS00291028	chr7	92167567	1	50	0.58
CHRXP43817086	MM6MSPIS00684585	chrX	43817086	1	50	0.48
CHR7P111429922	MM6MSPIS00296517	chr7	111429922	1	50	0.54
CHR7P73339871	MM6MSPIS00286841	chr7	73339871	1	50	0.64
CHRXP94198536	MM6MSPIS00692924	chrX	94198536	1	50	0.42
CHR7P73508231	MM6MSPIS00286954	chr7	73508231	1	50	0.58
CHR7P114644423	MM6MSPIS00297424	chr7	114644423	1	50	0.3
CHRXP70077143	MM6MSPIS00689145	chrX	70077143	1	50	0.58
CHRXP146770809	MM6MSPIS00701585	chrX	146770809	1	50	0.34
CHRXP87912112	MM6MSPIS00691664	chrX	87912112	1	50	0.44
CHRXP63150118	MM6MSPIS00687730	chrX	63150118	1	50	0.34
CHR7P135801798	MM6MSPIS00305674	chr7	135801798	1	50	0.46
CHRXP42351771	MM6MSPIS00684151	chrX	42351771	1	50	0.38
CHRXP123243182	MM6MSPIS00697602	chrX	123243182	1	50	0.44
CHRXP05396981	MM6MSPIS00677770	chrX	5396981	1	50	0.52
CHR7P106419118	MM6MSPIS00295240	chr7	106419118	1	50	0.42
CHR7P106095910	MM6MSPIS00295092	chr7	106095910	1	50	0.52
CHRXP10901560	MM6MSPIS00679442	chrX	10901560	1	50	0.46
CHR7P134141746	MM6MSPIS00304903	chr7	134141746	1	50	0.54
CHR7P135850588	MM6MSPIS00305719	chr7	135850588	1	50	0.44
CHR7P125082634	MM6MSPIS00301404	chr7	125082634	1	50	0.52
CHR7P56853685	MM6MSPIS00282373	chr7	56853685	1	50	0.46
CHR7P73848434	MM6MSPIS00287148	chr7	73848434	1	50	0.42
CHR7P111998780	MM6MSPIS00296657	chr7	111998780	1	50	0.42
CHRXP152586572	MM6MSPIS00702439	chrX	152586572	1	50	0.48
CHRXP51775993	MM6MSPIS00686122	chrX	51775993	1	50	0.4
CHRXP88517946	MM6MSPIS00691775	chrX	88517946	1	50	0.48
CHR12P104872292	MM6MSPIS00491540	chr12	104872292	1	50	0.58
CHR7P105497279	MM6MSPIS00294931	chr7	105497279	1	50	0.36
CHR7P60271980	MM6MSPIS00283564	chr7	60271980	1	50	0.38
CHRXP158597947	MM6MSPIS00703526	chrX	158597947	1	50	0.4
CHRXP68907605	MM6MSPIS00688819	chrX	68907605	1	50	0.54
CHR7P114673562	MM6MSPIS00297430	chr7	114673562	1	50	0.46
CHRXP148978454	MM6MSPIS00701949	chrX	148978454	1	50	0.36
CHR7P137782504	MM6MSPIS00306494	chr7	137782504	1	50	0.46
CHRXP31252637	MM6MSPIS00682465	chrX	31252637	1	50	0.26
CHR7P95015220	MM6MSPIS00292366	chr7	95015220	1	50	0.5
CHRXP19507176	MM6MSPIS00680742	chrX	19507176	1	50	0.34
CHRXP13333424	MM6MSPIS00679821	chrX	13333424	1	50	0.44
CHR7P116847085	MM6MSPIS00298208	chr7	116847085	1	50	0.46
CHR17P11808888	MM6MSPIS00608101	chr17	11808888	1	50	0.48
CHR2P178445285	MM6MSPIS00096279	chr2	178445285	1	50	0.46
CHR7P68236465	MM6MSPIS00285803	chr7	68236465	1	50	0.52
CHR7P83071182	MM6MSPIS00289390	chr7	83071182	1	50	0.52
CHRXP64249121	MM6MSPIS00687873	chrX	64249121	1	50	0.38
CHRXP100255109	MM6MSPIS00694372	chrX	100255109	1	50	0.6
CHR7P105609642	MM6MSPIS00294961	chr7	105609642	1	50	0.54
CHR7P137743423	MM6MSPIS00306477	chr7	137743423	1	50	0.52
CHR7P94243235	MM6MSPIS00292023	chr7	94243235	1	50	0.26
CHRXP36155584	MM6MSPIS00683353	chrX	36155584	1	50	0.38
CHR7P124480588	MM6MSPIS00301114	chr7	124480588	1	50	0.48
CHRXP34263222	MM6MSPIS00683159	chrX	34263222	1	50	0.3
CHRXP102417891	MM6MSPIS00694772	chrX	102417891	1	50	0.58
CHRXP159882765	MM6MSPIS00703731	chrX	159882765	1	50	0.48
CHR9P89749837	MM6MSPIS00371155	chr9	89749837	1	50	0.5
CHR12P105695530	MM6MSPIS00491984	chr12	105695530	1	50	0.54
CHR7P93905080	MM6MSPIS00291913	chr7	93905080	1	50	0.44
CHR7P91396045	MM6MSPIS00290763	chr7	91396045	1	50	0.4
CHRXP137319149	MM6MSPIS00699869	chrX	137319149	1	50	0.46
CHRXP137914492	MM6MSPIS00699986	chrX	137914492	1	50	0.34
CHR7P123293420	MM6MSPIS00300699	chr7	123293420	1	50	0.36
CHR7P119528422	MM6MSPIS00298782	chr7	119528422	1	50	0.4
CHR7P94607536	MM6MSPIS00292184	chr7	94607536	1	50	0.58
CHRXP101380579	MM6MSPIS00694646	chrX	101380579	1	50	0.28
CHR7P130221494	MM6MSPIS00303381	chr7	130221494	1	50	0.28
CHR7P134395402	MM6MSPIS00305046	chr7	134395402	1	50	0.58
CHRXP05815018	MM6MSPIS00677847	chrX	5815018	1	50	0.5
CHR7P84519287	MM6MSPIS00289742	chr7	84519287	1	50	0.38
CHR7P128502781	MM6MSPIS00302764	chr7	128502781	1	50	0.5
CHR7P106430710	MM6MSPIS00295245	chr7	106430710	1	50	0.46
CHR7P128780472	MM6MSPIS00302829	chr7	128780472	1	50	0.36
CHRXP11094162	MM6MSPIS00679480	chrX	11094162	1	50	0.52
CHR7P133512243	MM6MSPIS00304552	chr7	133512243	1	50	0.56
CHRXP127840822	MM6MSPIS00698148	chrX	127840822	1	50	0.6
CHR7P56785034	MM6MSPIS00282366	chr7	56785034	1	50	0.4
CHR7P122092070	MM6MSPIS00300290	chr7	122092070	1	50	0.52
CHR7P112836265	MM6MSPIS00296998	chr7	112836265	1	50	0.48
CHRXP48853478	MM6MSPIS00685583	chrX	48853478	1	50	0.56
CHR6P07661726	MM6MSPIS00230279	chr6	7661726	1	50	0.42
CHR7P91433352	MM6MSPIS00290775	chr7	91433352	1	50	0.48
CHRXP73605352	MM6MSPIS00689817	chrX	73605352	1	50	0.32
CHR7P99537035	MM6MSPIS00293495	chr7	99537035	1	50	0.46
CHR7P124874280	MM6MSPIS00301273	chr7	124874280	1	50	0.54
CHR7P110491955	MM6MSPIS00296313	chr7	110491955	1	50	0.52
CHR11P87167937	MM6MSPIS00446435	chr11	87167937	1	50	0.58
CHRXP51154006	MM6MSPIS00685996	chrX	51154006	1	50	0.34
CHR7P121256829	MM6MSPIS00299759	chr7	121256829	1	50	0.38
CHR7P128382280	MM6MSPIS00302743	chr7	128382280	1	50	0.36
CHR7P129377920	MM6MSPIS00303048	chr7	129377920	1	50	0.3
CHRXP117464842	MM6MSPIS00696726	chrX	117464842	1	50	0.6
CHRXP08356778	MM6MSPIS00678700	chrX	8356778	1	50	0.42
CHR7P112329472	MM6MSPIS00296763	chr7	112329472	1	50	0.52
CHR19P56463604	MM6MSPIS00675942	chr19	56463604	1	50	0.44
CHRXP45094778	MM6MSPIS00684853	chrX	45094778	1	50	0.34
CHR7P94961014	MM6MSPIS00292310	chr7	94961014	1	50	0.68
CHRXP124981232	MM6MSPIS00697748	chrX	124981232	1	50	0.38
CHR7P61871689	MM6MSPIS00284209	chr7	61871689	1	50	0.54
CHR7P130635261	MM6MSPIS00303529	chr7	130635261	1	50	0.42
CHR7P92139991	MM6MSPIS00291006	chr7	92139991	1	50	0.42
CHR7P59398281	MM6MSPIS00283132	chr7	59398281	1	50	0.38
CHRXP136017516	MM6MSPIS00699632	chrX	136017516	1	50	0.46
CHR7P98033631	MM6MSPIS00293251	chr7	98033631	1	50	0.26
CHRXP46538879	MM6MSPIS00685156	chrX	46538879	1	50	0.54
CHR2P168259023	MM6MSPIS00092146	chr2	168259023	1	50	0.7
CHR7P69473684	MM6MSPIS00286031	chr7	69473684	1	50	0.44
CHR7P110127526	MM6MSPIS00296175	chr7	110127526	1	50	0.26
CHR7P139318608	MM6MSPIS00307191	chr7	139318608	1	50	0.48
CHR7P126941750	MM6MSPIS00302115	chr7	126941750	1	50	0.54
CHR7P125264828	MM6MSPIS00301504	chr7	125264828	1	50	0.44
CHR6P05066884	MM6MSPIS00229575	chr6	5066884	1	50	0.48
CHR7P74832080	MM6MSPIS00287723	chr7	74832080	1	50	0.48
CHR7P73893296	MM6MSPIS00287197	chr7	73893296	1	50	0.46
CHRXP34263397	MM6MSPIS00683159	chrX	34263397	1	50	0.3
CHR7P62018208	MM6MSPIS00284283	chr7	62018208	1	50	0.36
CHR7P123092736	MM6MSPIS00300646	chr7	123092736	1	50	0.5
CHRXP88455475	MM6MSPIS00691759	chrX	88455475	1	50	0.34
CHRXP136405161	MM6MSPIS00699723	chrX	136405161	1	50	0.34
CHRXP05856475	MM6MSPIS00677871	chrX	5856475	1	50	0.54
CHRXP67717928	MM6MSPIS00688433	chrX	67717928	1	50	0.48
CHR7P139665598	MM6MSPIS00307353	chr7	139665598	1	50	0.58
CHRXP95970944	MM6MSPIS00693299	chrX	95970944	1	50	0.52
CHRXP06330029	MM6MSPIS00678180	chrX	6330029	1	50	0.42
CHR7P133494060	MM6MSPIS00304537	chr7	133494060	1	50	0.48
CHR2P173713023	MM6MSPIS00095222	chr2	173713023	1	50	0.6
CHR7P106270129	MM6MSPIS00295171	chr7	106270129	1	50	0.46
CHR7P135073744	MM6MSPIS00305265	chr7	135073744	1	50	0.56
CHR7P72904728	MM6MSPIS00286591	chr7	72904728	1	50	0.5
CHRXP14912954	MM6MSPIS00680036	chrX	14912954	1	50	0.48
CHR7P121846757	MM6MSPIS00300119	chr7	121846757	1	50	0.5
CHR7P64523250	MM6MSPIS00284895	chr7	64523250	1	50	0.52
CHR7P122813095	MM6MSPIS00300587	chr7	122813095	1	50	0.5
CHR7P60573787	MM6MSPIS00283679	chr7	60573787	1	50	0.66
CHR7P130557161	MM6MSPIS00303501	chr7	130557161	1	50	0.46
CHR6P05828682	MM6MSPIS00229809	chr6	5828682	1	50	0.42
CHR7P139578560	MM6MSPIS00307312	chr7	139578560	1	50	0.54
CHRXP67500386	MM6MSPIS00688375	chrX	67500386	1	50	0.5
CHR7P120430098	MM6MSPIS00299201	chr7	120430098	1	50	0.5
CHR11P103253387	MM6MSPIS00455072	chr11	103253387	1	50	0.52
CHR7P75441739	MM6MSPIS00288010	chr7	75441739	1	50	0.42
CHRXP108969714	MM6MSPIS00695599	chrX	108969714	1	50	0.34
CHRXP130411893	MM6MSPIS00698714	chrX	130411893	1	50	0.3
CHRXP156462374	MM6MSPIS00703136	chrX	156462374	1	50	0.32
CHR7P133705089	MM6MSPIS00304677	chr7	133705089	1	50	0.48
CHR7P123659714	MM6MSPIS00300799	chr7	123659714	1	50	0.46
CHR7P59830167	MM6MSPIS00283360	chr7	59830167	1	50	0.46
CHR7P123404295	MM6MSPIS00300733	chr7	123404295	1	50	0.36
CHRXP163600250	MM6MSPIS00704219	chrX	163600250	1	50	0.5
CHR7P85604709	MM6MSPIS00289848	chr7	85604709	1	50	0.32
CHRXP11631550	MM6MSPIS00679629	chrX	11631550	1	50	0.44
CHRXP114232680	MM6MSPIS00696247	chrX	114232680	1	50	0.32
CHRXP88389055	MM6MSPIS00691740	chrX	88389055	1	50	0.4
CHR7P114856939	MM6MSPIS00297514	chr7	114856939	1	50	0.36
CHR7P103540174	MM6MSPIS00294309	chr7	103540174	1	50	0.4
CHRXP154746202	MM6MSPIS00702827	chrX	154746202	1	50	0.34
CHR17P11284284	MM6MSPIS00607907	chr17	11284284	1	50	0.54
CHR7P115710931	MM6MSPIS00297756	chr7	115710931	1	50	0.4
CHR7P129923260	MM6MSPIS00303233	chr7	129923260	1	50	0.52
CHR12P105768084	MM6MSPIS00492034	chr12	105768084	1	50	0.42
CHR7P130101793	MM6MSPIS00303327	chr7	130101793	1	50	0.26
CHR7P94371286	MM6MSPIS00292072	chr7	94371286	1	50	0.6
CHR7P59947676	MM6MSPIS00283408	chr7	59947676	1	50	0.3
CHR12P105718679	MM6MSPIS00492002	chr12	105718679	1	50	0.52
CHRXP07437531	MM6MSPIS00678515	chrX	7437531	1	50	0.44
CHR7P74337387	MM6MSPIS00287499	chr7	74337387	1	50	0.54
CHRXP11457860	MM6MSPIS00679579	chrX	11457860	1	50	0.56
CHR7P119518316	MM6MSPIS00298772	chr7	119518316	1	50	0.44
CHR7P129125382	MM6MSPIS00302953	chr7	129125382	1	50	0.52
CHR7P135352011	MM6MSPIS00305378	chr7	135352011	1	50	0.56
CHR7P92846088	MM6MSPIS00291303	chr7	92846088	1	50	0.38
CHR11P11866500	MM6MSPIS00422688	chr11	11866500	1	50	0.42
